台灣,#genre#	
民視(HD),https://315600.xyz/hatv.php?id=5
CNN,https://315600.xyz/hatv.php?id=6
台視(HD),https://315600.xyz/hatv.php?id=7
人間衛視(HD),https://315600.xyz/hatv.php?id=8
中視(HD),https://315600.xyz/hatv.php?id=9
大愛(HD),https://315600.xyz/hatv.php?id=10
華視(HD),https://315600.xyz/hatv.php?id=11
動物星球(HD),https://315600.xyz/hatv.php?id=12
公視(HD),https://315600.xyz/hatv.php?id=13
公視台語台(HD),https://315600.xyz/hatv.php?id=14
好消息衛星電視台(HD),https://315600.xyz/hatv.php?id=15
原住民族電視台(HD),https://315600.xyz/hatv.php?id=16
客家電視台(HD),https://315600.xyz/hatv.php?id=17
國家地理頻道(HD),https://315600.xyz/hatv.php?id=18
DISCOVERY(HD),https://315600.xyz/hatv.php?id=19
中台灣生活網(HD),https://315600.xyz/hatv.php?id=20
旅遊生活頻道(HD),https://315600.xyz/hatv.php?id=21
MOMO親子台(HD),https://315600.xyz/hatv.php?id=24
東森幼幼台(HD),https://315600.xyz/hatv.php?id=25	
緯來綜合台(HD),https://315600.xyz/hatv.php?id=26
八大第一台(HD),https://315600.xyz/hatv.php?id=27
八大綜合台(HD),https://315600.xyz/hatv.php?id=28
三立台灣台(HD),https://315600.xyz/hatv.php?id=29
三立都會台(HD),https://315600.xyz/hatv.php?id=30
衛視中文台(HD),https://315600.xyz/hatv.php?id=31
東森綜合台(HD),https://315600.xyz/hatv.php?id=32
超視(HD),https://315600.xyz/hatv.php?id=33
中天綜合台(HD),https://315600.xyz/hatv.php?id=36
東風衛視(HD),https://315600.xyz/hatv.php?id=37
MUCH TV(HD),https://315600.xyz/hatv.php?id=38
AXN(HD),https://315600.xyz/hatv.php?id=39
東森戲劇台(HD),https://315600.xyz/hatv.php?id=40
八大戲劇台(HD),https://315600.xyz/hatv.php?id=41
TVBS歡樂台(HD),https://315600.xyz/hatv.php?id=42
緯來戲劇台(HD),https://315600.xyz/hatv.php?id=43
JET綜合台(HD),https://315600.xyz/hatv.php?id=45
壹電視新聞台(HD),https://315600.xyz/hatv.php?id=49
年代新聞台(HD),https://315600.xyz/hatv.php?id=50
東森新聞台(HD),https://315600.xyz/hatv.php?id=51
華視新聞資訊台,https://315600.xyz/hatv.php?id=52
民視新聞台(HD),https://315600.xyz/hatv.php?id=53
三立新聞台(HD),https://315600.xyz/hatv.php?id=54
TVBS新聞台(HD),https://315600.xyz/hatv.php?id=55
TVBS(HD),https://315600.xyz/hatv.php?id=56
東森財經新聞(HD),https://315600.xyz/hatv.php?id=57
非凡新聞台(HD),https://315600.xyz/hatv.php?id=58
HBO(HD),https://315600.xyz/hatv.php?id=65
好萊塢電影台(HD),https://315600.xyz/hatv.php?id=68
STAR Movies Goid,https://315600.xyz/hatv.php?id=69
CINEMAX(HD),https://315600.xyz/hatv.php?id=71
緯來體育台(HD),https://315600.xyz/hatv.php?id=72
ELEVEN SPORTS 1,https://315600.xyz/hatv.php?id=73
ELEVEN SPORTS 2,https://315600.xyz/hatv.php?id=74
MOMO綜合台,https://315600.xyz/hatv.php?id=75
緯來日本台(HD),https://315600.xyz/hatv.php?id=79
國興衛視(HD),https://315600.xyz/hatv.php?id=80
寰宇新聞台,https://315600.xyz/hatv.php?id=85
緯來育樂台(HD),https://315600.xyz/hatv.php?id=87
三立財經新聞台(HD),https://315600.xyz/hatv.php?id=88
雙子衛視,https://315600.xyz/hatv.php?id=89
台灣綜合台(HD),https://315600.xyz/hatv.php?id=91
LS TIME電影台(HD),https://315600.xyz/hatv.php?id=92
全球財經網頻道(HD),https://315600.xyz/hatv.php?id=93
非凡商業台,https://315600.xyz/hatv.php?id=95
Z頻道(HD),https://315600.xyz/hatv.php?id=98
霹靂台灣台(HD),https://315600.xyz/hatv.php?id=99
MTV綜合電視台,https://315600.xyz/hatv.php?id=100
STAR World,https://315600.xyz/hatv.php?id=101
ANIMAX,https://315600.xyz/hatv.php?id=104
大愛二台(HD),https://315600.xyz/hatv.php?id=121
智林體育台(HD),https://315600.xyz/hatv.php?id=122
幸福空間居家台,https://315600.xyz/hatv.php?id=125
民視第一台,https://315600.xyz/hatv.php?id=151
民視台灣台(HD),https://315600.xyz/hatv.php?id=152
